filename,words
cropped_img_1_0.jpg,SAFEWAY
cropped_img_1_1.jpg,TM
cropped_img_1_2.jpg,ATOREMGRTOMMILAZZO
cropped_img_1_3.jpg,703-777-5833
cropped_img_1_4.jpg,THANKYOUFORSHOPPINGWITHUS!
cropped_img_1_5.jpg,GROCERY
cropped_img_1_6.jpg,BCCHOCCUPCAKES
cropped_img_1_7.jpg,ACNSPRYFRTSHAPE
cropped_img_1_8.jpg,Regprice
cropped_img_1_9.jpg,Cardsavings
cropped_img_1_10.jpg,MfrCpn
cropped_img_1_11.jpg,MultipliedCpn
cropped_img_1_12.jpg,DULCEDELECHECHE
cropped_img_1_13.jpg,Regprice
cropped_img_1_14.jpg,CardSavings
cropped_img_1_15.jpg,MfrCpn
cropped_img_1_16.jpg,MuitipliedCpn
cropped_img_1_17.jpg,MULTIGRAINCHEERIO
cropped_img_1_18.jpg,RegPrice
cropped_img_1_19.jpg,CardSavings
cropped_img_1_20.jpg,MfrCpn
cropped_img_1_21.jpg,MuitieliedCpn
cropped_img_1_22.jpg,PROGRESSOR&HSTK
cropped_img_1_23.jpg,RegPrice
cropped_img_1_24.jpg,CardSavings
cropped_img_1_25.jpg,REFRIG/FROZEN
cropped_img_1_26.jpg,3.99
cropped_img_1_27.jpg,.49
cropped_img_1_28.jpg,3.79
cropped_img_1_29.jpg,1.80-
cropped_img_1_30.jpg,.75-
cropped_img_1_31.jpg,.75-
cropped_img_1_32.jpg,1.99
cropped_img_1_33.jpg,4.19
cropped_img_1_34.jpg,1.20-
cropped_img_1_35.jpg,.50-
cropped_img_1_36.jpg,.50-
cropped_img_1_37.jpg,1.50
cropped_img_1_38.jpg,3.99
cropped_img_1_39.jpg,1.49-
cropped_img_1_40.jpg,.50-
cropped_img_1_41.jpg,.50-
cropped_img_1_42.jpg,2.00
cropped_img_1_43.jpg,2.69
cropped_img_1_44.jpg,.69-
cropped_img_1_45.jpg,1OIY
cropped_img_1_46.jpg,PLSBRYBSCTSANDWI
cropped_img_1_47.jpg,TOTINOSPZASTOFFE
cropped_img_1_48.jpg,RegPrice
cropped_img_1_49.jpg,3.50
cropped_img_1_50.jpg,3.49
cropped_img_1_51.jpg,B
cropped_img_1_52.jpg,B
cropped_img_1_53.jpg,B
cropped_img_1_54.jpg,B
